lokacija;naziv;;;;;;;
94;Oddih v naravi;;;;;;;
94;Zabava ;;;;;;;
95;Izobraževanje;;;;;;;
95;Ogled znamenitosti;;;;;;;
96;Izobraževanje;;;;;;;
96;Ogled znamenitosti;;;;;;;
97;Pohodništvo;;;;;;;
97;Oddih v naravi;;;;;;;
98;Sprostitev;;;;;;;
98;Zabava ;;;;;;;
99;Izobraževanje;;;;;;;
100;Izobraževanje;;;;;;;
101;Izobraževanje;;;;;;;
101;Zabava ;;;;;;;
102;Zabava ;;;;;;;
102;Izobraževanje;;;;;;;
103;Izobraževanje;;;;;;;
104;Sprostitev;;;;;;;
104;Zabava ;;;;;;;
104;Rekreacija;;;;;;;
105;Izobraževanje;;;;;;;
106;Ogled znamenitosti;;;;;;;
108;Ogled znamenitosti;;;;;;;
109;Ogled znamenitosti;;;;;;;
110;Ogled znamenitosti;;;;;;;
110;Zabava ;;;;;;;
110;Rekreacija;;;;;;;
111;Oddih v naravi;;;;;;;
111;Rekreacija;;;;;;;
112;Ogled znamenitosti;;;;;;;
113;Oddih v naravi;;;;;;;
113;Sprostitev;;;;;;;
113;Zabava ;;;;;;;
114;Ogled znamenitosti;;;;;;;
115;Rekreacija;;;;;;;
115;Oddih v naravi;;;;;;;
116;Izobraževanje;;;;;;;
117;Ogled znamenitosti;;;;;;;
117;Izobraževanje;;;;;;;
118;Ogled znamenitosti;;;;;;;
118;Izobraževanje;;;;;;;
119;Adrenalinska doživetja;;;;;;;
119;Zabava ;;;;;;;
